Part,Ward,Booth Address,Total,
1500308,999,"Govt. High Primary School, Room No.2, Siddana Hosahalli",1147,
1500309,999,"Govt. Higher Primary School, Room No.3, Siddana Hosahalli",1184,
1500310,999,"Govt. Higher Primary School, Room No.4, Siddana Hosahalli",950,
1500311,999,"Anganawadi Kendra, Hanumanthegowdana Palya",1319,
1500312,999,"Govt. Lower Primary School, Gejjagada Halli",908,
1500313,999,"Govt. Lower Primary School,Gowdahalli",646,
1500314,999,"Govt. Higher Primary School, Hullegowdana Halli, room no.1",764,
1500315,999,"Govt. Higher Primary School, Hullegowdana Halli, room no.2",622,
1500316,999,"Govt. Higher Primary School, Lakkena Halli",1227,
1500317,999,"Govt. Higher Primary School, Room No.1, Shivana Pura",809,
1500318,999,"Govt. Higher Primary School, Shivana Pura",1125,
1500319,999,"Govt. Higher Primary School, Room No.1, Haro Kyathana Halli",1166,
1500320,999,"Govt. Higher Primary School, Room No.2, Haro Kyathana Halli",1127,
1500321,999,"Govt. Higher Primary School, Room No.1, Madavara",1193,
1500322,999,"Govt. Higher Primary School, Room No 2, Madavara",758,
1500323,999,"Govt. Higher Primary School, Room No.3, Madavara",877,
1500324,999,"Govt. Higher Primary School, Room No.4, Madavara",1118,
1500325,999,"Govt. Higher Primary School, Room No.5 Madavara",924,
1500326,999,Govt Anganavadi Kendra Madavara,865,
1500327,999,"Govt. Lower Primary School, Room No.1, hottappana Palya",1098,
1500328,999,"Govt. Higher Primary School, Room No.1, Lakshmi Pura",1280,
1500329,999,"Govt. Higher Primary School, Room No.2, Lakshmi Pura",1193,
1500330,999,"Govt. Lower Primary School, Room No.1, Dombara Halli",1133,
1500331,999,Anganavadi Kedra Dombarahalli,1087,
1500332,999,Govt. Lower Primary School Dombara Halli Room No-1,1062,
1500333,999,"Govt. Lower Primary School, Room No.1, Kadarana Halli",472,
1500334,999,"Govt. Lower Primary School, Kammasandra",718,
1500335,999,"Govt. Higher Primary School, Ravuthana Halli (Shanthinagara)",1324,
1500336,999,"Govt. Lower Primary School, Hunnigere",606,
1500337,999,Govt Model Higher Primary School Sondekoppa Room No-1,1142,
1500338,999,Govt Model Higher Primary School Sondekoppa Room No-2,703,
1500339,999,Govt Model Higher Primary School Sondekoppa Room No-3,669,
1500340,999,Govt Model Higher Primary School Sondekoppa Room No-4,981,
1500341,999,"Govt. Higher Primary School, Room No.1, Kithana Halli",1085,
1500342,999,"Govt. Higher Primary School, Room No.2, Kithana Halli",1332,
1500343,999,"Govt. Lower Primary School, Bettahalli",956,
1500344,999,"Govt. Higher Primary School, Room No.1, Gangondana Halli",1104,
1500345,999,"Govt. Higher Primary School, Room No.4, Gangondana Halli",1097,
1500346,999,"Govt. Higher Primary School, Room No.2, Gangondana Halli",1092,
1500347,999,"Govt. Higher Primary School, Room No.3, Gangondana Halli",1182,
1500348,999,"Govti Lower Primary School, K G Lakkena Halli",874,
1500349,999,"Govt Lower Primary School, Bylukonenahalli",745,
1500350,999,Govt Higher Primary School Machohalli,1576,
1500351,999,"Govt Higher Primary School, Room No.1, Machohalli Colony",1190,
1500352,999,"Govt Higher Primary School, Room No.2, Machohalli Colony",1312,
1500353,999,"Govt Higher Primary School, Room No.4, Machohalli Colony",1204,
1500354,999,"Govt Higher Primary School, Room No.3, Machohalli Colony",1160,
1500355,999,"Govt Higher Primary School, Room No.5, Machohalli Colony",1169,
1500356,999,"Govt.Higher Urdu Primary School, Room No-1 Kachohalli",953,
1500357,999,"Govt.Higher Urdu Primary School, Room No-2 Kachohalli",741,
1500358,999,"Govt. Lower Primary School, Baiyanda Halli",1239,
